location_id,cluster,rainfall_regime,drought_risk,comprehensive_class,monthly_type,quarterly_type,seasonal_type,total_rainfall,mean_rainfall,rainy_days_percent,max_dry_spell,cv_rainfall,wettest_season,driest_season,wettest_quarter,driest_quarter,wet_months_count,dry_months_count
571840185,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571840200,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571840208,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
571840210,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
572359569,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
572359573,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
572359577,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
572359586,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
578369429,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
578369430,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
582492062,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
582492066,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
582500803,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
582500805,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Wet Summer,Late Year Peaking,Winter-Spring Dominant,93.07898828,0.311300964,100,0,1.235159669,MAM,JJA,Q4,Q3,1,4
582500807,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
582500808,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
582501004,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
585097422,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Late Year Peaking,Winter-Spring Dominant,76.08555352,0.254466734,97.65886288,1,1.26748203,MAM,JJA,Q4,Q3,0,8
585340659,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
585340660,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
585340662,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Late Year Peaking,Winter-Spring Dominant,78.2345205,0.261653915,98.3277592,1,1.273099836,MAM,JJA,Q4,Q3,1,9
585340663,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
585340664,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
585340665,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
585340666,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
827847118,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
827847133,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Late Year Peaking,Winter-Spring Dominant,62.52207625,0.209103934,73.91304348,4,1.269414068,MAM,JJA,Q4,Q3,0,9
827847135,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Late Year Peaking,Winter-Spring Dominant,62.52207625,0.209103934,73.91304348,4,1.269414068,MAM,JJA,Q4,Q3,0,9
827847136,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Late Year Peaking,Winter-Spring Dominant,62.52207625,0.209103934,73.91304348,4,1.269414068,MAM,JJA,Q4,Q3,0,9
827847137,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Late Year Peaking,Winter-Spring Dominant,62.52207625,0.209103934,73.91304348,4,1.269414068,MAM,JJA,Q4,Q3,0,9
827847138,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
827847140,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
827847142,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
827847143,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
827847146,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
830382691,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
830382692,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
830382699,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
830402251,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Wet Year,Heavy Q4 Dominant,Winter-Spring Dominant,324.0699337,1.083845932,69.56521739,4,1.358423131,MAM,JJA,Q4,Q3,7,4
848924174,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849366800,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Heavy Q4 Dominant,Winter-Spring Dominant,53.94275445,0.18041055,71.90635452,4,1.376600021,MAM,JJA,Q4,Q3,0,12
849838178,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838179,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838180,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838181,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838182,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838183,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838184,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838185,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838186,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838187,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838188,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838189,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
849838190,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850196609,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Late Year Peaking,Winter-Spring Dominant,64.22893618,0.214812496,96.65551839,1,1.274186114,MAM,JJA,Q4,Q3,0,9
850217478,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Heavy Q4 Dominant,Winter-Spring Dominant,70.01622236,0.234167968,77.59197324,4,1.375389951,MAM,JJA,Q4,Q3,0,10
850221362,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850221364,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850221365,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850221368,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850221369,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850221370,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850221372,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850221373,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850221374,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Heavy Q4 Dominant,Winter-Spring Dominant,70.01622236,0.234167968,77.59197324,4,1.375389951,MAM,JJA,Q4,Q3,0,10
850221377,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Heavy Q4 Dominant,Winter-Spring Dominant,70.01622236,0.234167968,77.59197324,4,1.375389951,MAM,JJA,Q4,Q3,0,10
850221378,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850661503,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Variable/Erratic,Heavy Q4 Dominant,Winter-Spring Dominant,161.8282633,0.54123165,71.90635452,4,1.376600021,MAM,JJA,Q4,Q3,0,3
850661511,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850661512,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Heavy Q4 Dominant,Winter-Spring Dominant,53.94275445,0.18041055,71.90635452,4,1.376600021,MAM,JJA,Q4,Q3,0,12
850661513,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850661514,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850661515,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850661516,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Wet Year,Heavy Q4 Dominant,Winter-Spring Dominant,370.0297643,1.23755774,71.90635452,4,1.390446812,MAM,JJA,Q4,Q3,8,3
850793064,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Variable/Erratic,Heavy Q4 Dominant,Winter-Spring Dominant,107.8855089,0.3608211,71.90635452,4,1.376600021,MAM,JJA,Q4,Q3,0,5
850794320,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850804673,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850804674,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850804676,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850807136,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850809086,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850809087,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Heavy Q4 Dominant,Winter-Spring Dominant,52.5669848,0.175809314,71.57190635,4,1.392502292,MAM,JJA,Q4,Q3,0,12
850810624,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850810625,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850810626,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850810627,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850811615,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850811616,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850811617,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850811618,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850811619,2,"High Rainfall, Less Seasonal",Low,"High Rainfall, Less Seasonal - Low Risk",Mostly Dry Year,Heavy Q4 Dominant,Winter-Spring Dominant,52.5669848,0.175809314,71.57190635,4,1.392502292,MAM,JJA,Q4,Q3,0,12
850811620,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850811621,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850811622,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850813273,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850813274,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850813275,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850813276,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850813277,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850813278,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850813279,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850815135,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850815136,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
850815137,0,"Very Low Rainfall, Hyper-Arid",Low,"Very Low Rainfall, Hyper-Arid - Low Risk",Mostly Dry Year,No Rainfall,No Rainfall,0,0,0,299,0,DJF,DJF,Q1,Q1,0,12
